LIBELLE_CLIENT;CODE_PRODUIT;SUPPORT;CODEISIN;LIBELLE_VALEUR;SENS;QUANTITE;QUANTITE_MNT;LIBDEV;DATE_EXEC;COURS_EXEC;TX_CONV_RGLT;MNT_BRUT_EUR;MNT_NET_EUR;CC;FRAIS_TRANSAC_TTC_EUR;COM_CIC_RL_HT
FCP HUGAU MONETERME;OBE;OBL;FR0011769090;RENAULT 3,125%14-050321 EMTN;A;3500.0;3500000.0;EUR;2020-02-21;103.1;1.0;3715185.45;3715733.42;106685.45;547.97;46.43
FCP HUGAU MONETERME;OBF;TCN;FR0126130808;ALTRAN NCP PRE-CPTE   25032020;A;5000000.0;5000000.0;EUR;2020-02-24;1.0;1.0;5000000.0;5000025.0;;25.0;25.0
FCP HUGAU MONETERME;OBE;OBL;XS1729872652;FORD MOTOR CRED TV17-011221;A;2000.0;2000000.0;EUR;2020-02-24;98.85;1.0;1977000.0;1977289.54;;289.54;35.0
FCP HUGAU MONETERME;OBE;TCN;XS2128002792;ECP SYNGENTA FINANCE 25062020;A;20000000.0;20000000.0;EUR;2020-02-25;99.9686071;1.0;19993721.42;19993776.42;;55.0;55.0
FCP HUGAU MONETERME;OBE;OBL;FR0010941690;ORANO3.50%MAR21 EMTN;A;20.0;1000000.0;EUR;2020-02-26;103.38;1.0;1066600.55;1066753.53;32800.55;152.98;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004941412;UNICREDIT TV13-131020;A;187.0;187000.0;EUR;2020-02-26;102.98278;1.0;39244.86;39291.41;729.3;46.55;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004605074;UNICREDIT TV10-310520 STEP UP;A;40.0;40000.0;EUR;2020-02-26;101.35;1.0;8465.33;8510.33;357.33;45.0;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0005067027;UNICREDIT TV14-160222 10;A;5.0;50000.0;EUR;2020-02-26;101.37;1.0;20286.26;20331.26;12.26;45.0;35.0
FCP HUGAU MONETERME;OBF;OBL;FR0010941690;ORANO3.50%MAR21 EMTN;A;20.0;1000000.0;EUR;2020-02-27;103.0;1.0;1063087.43;1063239.89;33087.43;152.46;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;V;36.0;;;2020-02-27;107001.5;1.0;3852054.0;3852039.0;;;15.0
FCP HUGAU MONETERME;OBE;OBL;FR0010941690;ORANO3.50%MAR21 EMTN;A;20.0;1000000.0;EUR;2020-02-27;102.9;1.0;1062087.43;1062239.74;33087.43;152.31;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;A;110.0;;;2020-02-28;107000.45;1.0;11770049.5;11770064.5;;;15.0
FCP HUGAU MONETERME;OBE;OBL;XS1048568452;FIAT CHRYSLER 4,75%14-220321;A;1500.0;1500000.0;EUR;2020-02-27;104.772;1.0;1638936.56;1639175.39;67356.56;238.83;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);A;130.0;;;2020-02-28;189979.64;1.0;24697353.2;24697368.2;;;15.0
FCP HUGAU MONETERME;OBE;OBL;DE000DL19UQ0;DEUTSCHE BANK 1,625%19-120221;A;50.0;5000000.0;EUR;2020-02-28;101.239;1.0;5066389.89;5066449.89;4439.89;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005067027;UNICREDIT TV14-160222 10;A;3.0;30000.0;EUR;2020-03-03;100.7;1.0;12095.65;12140.65;11.65;45.0;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1202846819;GLENCORE FINANCE 1,25%15-0321;A;2000.0;2000000.0;EUR;2020-03-04;100.9;1.0;2042248.63;2042283.63;24248.63;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1202846819;GLENCORE FINANCE 1,25%15-0321;A;3000.0;3000000.0;EUR;2020-03-04;100.923;1.0;3064062.95;3064514.89;36372.95;451.94;38.3
FCP HUGAU MONETERME;OBE;OBL;IT0004645542;MEDIOBANCA-BCA 5%10-151120;A;141.0;141000.0;EUR;2020-03-03;102.87;1.0;147184.81;147263.32;2138.11;78.51;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004982200;UNICREDIT TV14-310321 STEP-UP;A;10.0;10000.0;EUR;2020-03-03;102.67;1.0;4281.74;4326.74;174.94;45.0;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;50.0;;;2020-03-05;189967.65;1.0;9498382.5;9498367.5;;;15.0
FCP HUGAU MONETERME;OBF;TCN;FR0126131533;ALTRAN NCP31032020;A;13100000.0;13100000.0;EUR;2020-03-05;1.0;1.0;13100000.0;13100025.0;;25.0;25.0
FCP HUGAU MONETERME;OPF;FCP3;FR0010611335;PALATINE MOMA I FCP 3DEC;V;560.0;;;2020-03-06;32179.043;1.0;18020264.08;18020249.08;;;15.0
FCP HUGAU MONETERME;OBE;OBL;FR0011731876;ACCOR 2,625%14-050221;A;20.0;2000000.0;EUR;2020-03-06;102.096;1.0;2046797.05;2046832.05;4877.05;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;FR0011731876;ACCOR 2,625%14-050221;A;30.0;3000000.0;EUR;2020-03-09;101.787;1.0;3061140.74;3061592.24;7530.74;451.5;38.26
FCP HUGAU MONETERME;OBE;OBL;FR0011731876;ACCOR 2,625%14-050221;A;20.0;2000000.0;EUR;2020-03-09;101.839;1.0;2041800.49;2041835.49;5020.49;35.0;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;37.0;;;2020-03-10;189957.79;1.0;7028438.23;7028423.23;;;15.0
FCP HUGAU MONETERME;OBE;OBL;IT0004982200;UNICREDIT TV14-310321 STEP-UP;A;2739.0;2739000.0;EUR;2020-03-10;106.865;1.0;1170812.94;1170847.94;;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;CH0110442859;CREDIT SUISSE 3,375%10-160320;A;2893.0;14465000.0;CHF;2020-03-10;100.03;1.059;14119082.98;14119142.98;455872.88;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;XS1051003538;GLENCORE FIN.EU 14/21 MTN;A;2000.0;2000000.0;EUR;2020-03-11;101.882;1.0;2089784.81;2089819.81;52144.81;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;CH0110442859;CREDIT SUISSE 3,375%10-160320;V;2893.0;14465000.0;CHF;2020-03-10;100.03;1.059;14119082.98;14119022.98;455872.88;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005067027;UNICREDIT TV14-160222 10;A;163.0;1630000.0;EUR;2020-03-10;100.78782055;1.0;657136.59;657171.59;;35.0;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1038646078;GAZ CAPITAL 3,6%14-260221;A;2000.0;2000000.0;EUR;2020-03-12;102.11;1.0;2045937.7;2046237.59;3737.7;299.89;35.0
