CODEISIN;CATV;PERF_POS_1M;PERF_POS_3M;PERF_POS_YTD;PERF_POS_DEB;CTRB_POS_1M;CTRB_POS_3M;CTRB_POS_YTD;CTRB_POS_DEB;CTRB_PORT_1M;CTRB_PORT_3M;CTRB_PORT_YTD;CTRB_PORT_DEB;PERF_PORT_1M;PERF_PORT_3M;PERF_PORT_YTD;PERF_PORT_DEB;PNL_PORT_1M;PNL_PORT_3M;PNL_PORT_YTD;PNL_PORT_DEB;CTRB_VENTE_1M;CTRB_VENTE_3M;CTRB_VENTE_YTD;CTRB_VENTE_DEB;PNL_VENTE_1M;PNL_VENTE_3M;PNL_VENTE_YTD;PNL_VENTE_DEB;FRAIS_1M;FRAIS_3M;FRAIS_YTD;FRAIS_DEB;CTRB_FRAIS_1M;CTRB_FRAIS_3M;CTRB_FRAIS_YTD;CTRB_FRAIS_DEB;C_D
XS0554819465;VMOB;-0,0034701567;-0,0092656481;;;-0,0000078470;-0,0000215859;-0,0000311913;-0,0000311913;0,0000078507;0,0000233479;0,0000349923;0,0000349923;0,0033879810;0,0096345714;0,0145047857;0,0145047857;7114,7600000000;20232,6000000000;30460,0500000000;30460,0500000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;319,2600000000;319,2600000000;0,0000000000;0,0000000000;0,0000003269;0,0000003269;EUR
XS0563742138;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;USD
XS0563742138;VMOB;-0,0035080785;-0,0095761921;;;-0,0000256534;-0,0000436288;-0,0000496672;-0,0000496672;0,0000258240;0,0000462898;0,0000524098;0,0000524098;0,0035243876;0,0106400860;0,0164894960;0,0164894960;28114,0400000000;48802,9924000000;54652,4024000000;54652,4024000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;934,7200000000;1070,5000000000;1070,5000000000;0,0000000000;0,0000010595;0,0000011973;0,0000011973;USD
XS0603409789;VMOB;;;;;-0,0000012396;-0,0000012396;-0,0000012396;-0,0000012396;0,0000008393;0,0000008393;0,0000008393;0,0000008393;0,0001323460;0,0001323460;0,0001323460;0,0001323460;661,7300000000;661,7300000000;661,7300000000;661,7300000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1732,9400000000;1732,9400000000;1732,9400000000;1732,9400000000;0,0000018446;0,0000018446;0,0000018446;0,0000018446;GBP
XS0618847775;VMOB;-0,0057920649;-0,0043022188;;;-0,0000150919;-0,0000106766;0,0000021607;0,0000021607;0,0000140796;0,0000266421;0,0000341321;0,0000341321;0,0053698579;0,0152705500;0,0218150700;0,0218150700;12552,0405263158;23137,9520263158;29682,4720263158;29682,4720263158;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;151,4600000000;891,8200000000;1038,6200000000;1038,6200000000;0,0000001609;0,0000009476;0,0000011013;0,0000011013;EUR
XS0753149144;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;GBP
XS0753149144;VMOB;0,0000000000;0,0000000000;-0,0081325002;-0,0081325002;0,0000000000;0,0000000000;-0,0001130697;-0,0001130697;0,0000000000;0,0000000000;0,0001532329;0,0001532329;0,0000000000;0,0000000000;0,0109099192;0,0109099192;0,0000000000;0,0000000000;130919,0300000000;130919,0300000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;GBP
XS0759599409;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;GBP
XS0759599409;VMOB;0,0000000000;0,0000000000;-0,0099201045;-0,0099201045;0,0000000000;0,0000000000;-0,0000519905;-0,0000519905;0,0000000000;0,0000000000;0,0000501897;0,0000501897;0,0000000000;0,0000000000;0,0093966371;0,0093966371;0,0000000000;0,0000000000;42360,0400000000;42360,0400000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;GBP
XS0828749761;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
